threshold,precision,recall,f1,flagged
-2.0,0.0037667867671143137,1.0,0.007505302659487682,6106
-1.95,0.0037891268533772654,1.0,0.007549647136057771,6070
-1.9,0.0038161606105856978,1.0,0.007603305785123967,6027
-1.85,0.003851951096968682,1.0,0.007674341007674341,5971
-1.8,0.0038825118163403104,1.0,0.007734992433159576,5924
-1.75,0.0039188958936786505,1.0,0.007807196198234894,5869
-1.7,0.003960055096418733,1.0,0.007888869833647744,5808
-1.65,0.003997914131757344,1.0,0.00796398891966759,5753
-1.6,0.004041468986118433,1.0,0.008050402520126006,5691
-1.55,0.0040823571175008875,1.0,0.008131518472688705,5634
-1.5,0.0041196489342647325,1.0,0.008205494113449875,5583
-1.45,0.0041613895422471505,1.0,0.008288288288288289,5527
-1.4,0.004203216374269006,1.0,0.008371246587807097,5472
-1.35,0.004245108896271687,1.0,0.008454328248483734,5418
-1.2999999999999998,0.004283054003724395,1.0,0.008529575375486742,5370
-1.25,0.004309537193179689,1.0,0.008582089552238806,5337
-1.2,0.004347004347004347,1.0,0.008656379375235227,5291
-1.15,0.0043859649122807015,1.0,0.008733624454148471,5244
-1.1,0.004434162328899171,1.0,0.008829174664107486,5187
-1.0499999999999998,0.004477321393809616,1.0,0.008914728682170543,5137
-1.0,0.004532912889239259,1.0,0.009024916617618207,5074
-0.95,0.004618473895582329,1.0,0.009194483310013992,4980
-0.8999999999999999,0.004707327056897258,1.0,0.009370543898961092,4886
-0.8499999999999999,0.00481272232684662,1.0,0.009579341940857976,4779
-0.7999999999999998,0.004932446922582029,1.0,0.009816474605207,4663
-0.75,0.005082872928176795,1.0,0.010114335971855761,4525
-0.7,0.005246350364963503,1.0,0.010437939641479465,4384
-0.6499999999999999,0.005396527451900516,1.0,0.01073512252042007,4262
-0.5999999999999999,0.005560928433268859,1.0,0.011060351045924502,4136
-0.5499999999999998,0.00571712652249565,1.0,0.011369253583786456,4023
-0.5,0.005877843087145413,1.0,0.011686991869918699,3913
-0.44999999999999996,0.006038330270412182,1.0,0.012004175365344467,3809
-0.3999999999999999,0.0062061521856449,1.0,0.012335746849021185,3706
-0.34999999999999987,0.006348330113165885,1.0,0.012616566099835436,3623
-0.2999999999999998,0.006464305789769534,1.0,0.012845573862049707,3558
-0.25,0.006599713055954089,1.0,0.013112884834663626,3485
-0.19999999999999996,0.006725146198830409,1.0,0.01336044147545745,3420
-0.1499999999999999,0.0065632458233890216,0.9565217391304348,0.013037037037037036,3352
-0.09999999999999987,0.006416131989000917,0.9130434782608695,0.012742718446601941,3273
-0.04999999999999982,0.006587202007528231,0.9130434782608695,0.013080037371535347,3188
0.0,0.00682261208576998,0.9130434782608695,0.013544018058690745,3078
0.050000000000000266,0.007056451612903226,0.9130434782608695,0.014004668222740914,2976
0.10000000000000009,0.00664568030779993,0.8260869565217391,0.0131852879944483,2859
0.1499999999999999,0.006931776723823422,0.8260869565217391,0.013748191027496382,2741
0.20000000000000018,0.006859756097560976,0.782608695652174,0.01360030222893842,2624
0.25,0.0071174377224199285,0.782608695652174,0.014106583072100314,2529
0.30000000000000027,0.007475083056478406,0.782608695652174,0.014808720691073632,2408
0.3500000000000001,0.007400957771005659,0.7391304347826086,0.014655172413793103,2297
0.40000000000000036,0.006846188954815153,0.6521739130434783,0.013550135501355014,2191
0.4500000000000002,0.006184586108468126,0.5652173913043478,0.01223529411764706,2102
0.5,0.006400787789266372,0.5652173913043478,0.012658227848101266,2031
0.5500000000000003,0.006119326874043855,0.5217391304347826,0.012096774193548387,1961
0.6000000000000001,0.0062827225130890054,0.5217391304347826,0.012415933781686497,1910
0.6500000000000004,0.006448146157979581,0.5217391304347826,0.012738853503184714,1861
0.7000000000000002,0.006607929515418502,0.5217391304347826,0.013050570962479609,1816
0.75,0.006307339449541285,0.4782608695652174,0.01245048104131296,1744
0.8000000000000003,0.006524317912218268,0.4782608695652174,0.012873025160912814,1686
0.8500000000000001,0.006806930693069307,0.4782608695652174,0.013422818791946308,1616
0.9000000000000004,0.006510416666666667,0.43478260869565216,0.012828736369467608,1536
0.9500000000000002,0.006202618883528601,0.391304347826087,0.012211668928086838,1451
1.0,0.006598240469208211,0.391304347826087,0.012977649603460706,1364
1.0500000000000003,0.0064516129032258064,0.34782608695652173,0.012668250197941409,1240
1.1,0.006156552330694811,0.30434782608695654,0.01206896551724138,1137
1.1500000000000004,0.004892367906066536,0.21739130434782608,0.009569377990430622,1022
1.2000000000000002,0.005405405405405406,0.21739130434782608,0.010548523206751054,925
