threshold,precision,recall,f1,flagged
-2.0,0.00368,1.0,0.0073330145066156545,6250
-1.95,0.0036888532477947072,1.0,0.007350591243208693,6235
-1.9,0.00369953353707576,1.0,0.007371794871794872,6217
-1.85,0.003711473293529127,1.0,0.007395498392282958,6197
-1.8,0.0037222851594109077,1.0,0.007416962270235408,6179
-1.75,0.003734978889249756,1.0,0.007442161462546513,6158
-1.7,0.003750815394651011,1.0,0.007473598700243705,6132
-1.65,0.0037692559816453622,1.0,0.007510204081632653,6102
-1.6,0.003787878787878788,1.0,0.007547169811320755,6072
-1.55,0.0038155275381552755,1.0,0.007602049248058173,6028
-1.5,0.003848728246318608,1.0,0.007667944657442907,5976
-1.45,0.003881856540084388,1.0,0.00773369199731002,5925
-1.4,0.003918228279386712,1.0,0.007805871372815205,5870
-1.35,0.003960055096418733,1.0,0.007888869833647744,5808
-1.2999999999999998,0.003999304468788037,1.0,0.00796674748874264,5751
-1.25,0.004043600562587905,1.0,0.008054631413062511,5688
-1.2,0.004097630500623553,1.0,0.008161816891412349,5613
-1.15,0.004143397586020537,1.0,0.008252601363473269,5551
-1.1,0.004197846322321591,1.0,0.008360596146855689,5479
-1.0499999999999998,0.004250600628349658,1.0,0.008465218991534781,5411
-1.0,0.004306309679835237,1.0,0.008575689783743476,5341
-0.95,0.004365154678307079,1.0,0.008692365835222978,5269
-0.8999999999999999,0.004405286343612335,1.0,0.008771929824561403,5221
-0.8499999999999999,0.004466886774130899,1.0,0.008894044856921888,5149
-0.7999999999999998,0.004521328877530961,1.0,0.009001956947162427,5087
-0.75,0.004580760804620594,1.0,0.009119746233148296,5021
-0.7,0.004641775983854692,1.0,0.009240658899156288,4955
-0.6499999999999999,0.004694835680751174,1.0,0.009345794392523364,4899
-0.5999999999999999,0.004772774434529985,1.0,0.00950020652622883,4819
-0.5499999999999998,0.004856418918918919,1.0,0.009665896196679975,4736
-0.5,0.0049526270456503015,1.0,0.009856438825798158,4644
-0.44999999999999996,0.005064963664391103,1.0,0.010078878177037686,4541
-0.3999999999999999,0.005202442886224836,1.0,0.010351035103510351,4421
-0.34999999999999987,0.005351326198231736,1.0,0.010645683869474658,4298
-0.2999999999999998,0.005296100144439095,0.9565217391304348,0.010533875987550874,4154
-0.25,0.005483549351944167,0.9565217391304348,0.01090458488228005,4012
-0.19999999999999996,0.005720228809152366,0.9565217391304348,0.011372447660894288,3846
-0.1499999999999999,0.005968529571351058,0.9565217391304348,0.011863035858722027,3686
-0.09999999999999987,0.006274957216200799,0.9565217391304348,0.012468121280816095,3506
-0.04999999999999982,0.006604623236265386,0.9565217391304348,0.01311866428145498,3331
0.0,0.006885758998435055,0.9565217391304348,0.013673088875077687,3195
0.050000000000000266,0.007149821254468639,0.9565217391304348,0.014193548387096775,3077
0.10000000000000009,0.0071090047393364926,0.9130434782608695,0.0141081625797783,2954
0.1499999999999999,0.007386563489271896,0.9130434782608695,0.01465457083042568,2843
0.20000000000000018,0.006931776723823422,0.8260869565217391,0.013748191027496382,2741
0.25,0.007169811320754717,0.8260869565217391,0.01421623643845866,2650
0.30000000000000027,0.007367196587824738,0.8260869565217391,0.014604150653343582,2579
0.3500000000000001,0.0075546719681908545,0.8260869565217391,0.014972419227738377,2515
0.40000000000000036,0.0077456176110884635,0.8260869565217391,0.015347334410339256,2453
0.4500000000000002,0.007547169811320755,0.782608695652174,0.014950166112956811,2385
0.5,0.007765314926660914,0.782608695652174,0.015378043571123452,2318
0.5500000000000003,0.0071269487750556795,0.6956521739130435,0.014109347442680775,2245
